"","regulator","regulatees","mean_edge_weight"
"318","ALX3","TGFBR3",0.251341417092401
"319","ALX3","TGFBR3L",0.360234640869148
"320","ALX3","TGFBRAP1",0.399109552981522
"321","ALX3","TNFAIP1",0.283078329195628
"322","ALX3","TNFAIP3",0.23168336640278
"323","ALX3","TNFAIP8",0.245290864924476
"324","ALX3","TNFAIP8L1",0.429030075879489
"325","ALX3","TNFAIP8L3",0.15456932092994
"326","ALX3","TNFRSF10A",0.205488983866673
"327","ALX3","TNFRSF10A-AS1",0.101231316146446
"328","ALX3","TNFRSF10B",0.205488983866673
"329","ALX3","TNFRSF10C",0.205488983866673
"330","ALX3","TNFRSF10D",0.205488983866673
"331","ALX3","TNFRSF11A",0.202670496897565
"332","ALX3","TNFRSF11B",0.321120433553012
"333","ALX3","TNFRSF12A",0.210522096734203
"334","ALX3","TNFRSF13B",0.334538352843755
"335","ALX3","TNFRSF19",0.172597174285275
"336","ALX3","TNFRSF1A",0.286779407436062
"337","ALX3","TNFRSF21",0.222965772417454
"338","ALX3","TNFRSF25",0.363448360060507
"339","ALX3","TNFRSF8",0.169929635718923
"340","ALX3","TNFSF10",0.222000146832484
"341","ALX3","TNFSF11",0.259764989345496
"342","ALX3","TNFSF12",0.145454463535224
"343","ALX3","TNFSF13B",0.374877700321647
"344","ALX3","TNFSF18",0.364177395378464
"345","ALX3","TNFSF4",0.185533615842729
"346","ALX3","TNFSF8",0.246326569152015
"347","ALX3","XCL1",0.178951459425049
"348","ALX3","XCL2",0.167347010780836
"349","ALX4","ADAMTS1",0.171708191385313
"350","ALX4","ADAMTS10",0.275836835734004
"351","ALX4","ADAMTS13",0.19519212149503
"352","ALX4","ADAMTS14",0.207744303687538
"353","ALX4","ADAMTS17",0.223508453276739
"354","ALX4","ADAMTS3",0.248657473270314
"355","ALX4","ADAMTS4",0.177008375786878
"356","ALX4","ADAMTS6",0.360228263335114
"357","ALX4","ADAMTSL1",0.226305402425745
"358","ALX4","ADAMTSL4",0.216368946664281
"359","ALX4","CCL15",0.183149178886823
"360","ALX4","CCL17",0.211637900142037
"361","ALX4","CCL2",0.309027621208984
"362","ALX4","CCL20",0.174638609474106
"363","ALX4","CCL24",0.202928503241003
"364","ALX4","CCL25",0.312641330564329
"365","ALX4","CCL26",0.14349212073775
"366","ALX4","CCL28",0.171734467423041
"367","ALX4","CCL4L2",0.239642484519017
"368","ALX4","CSF2RA",0.314886294361108
"369","ALX4","CSF3R",0.181417062003075
"370","ALX4","CXCL10",0.175664476862745
"371","ALX4","CXCL12",0.191104662353436
"372","ALX4","CXCL14",0.231382935428832
"373","ALX4","CXCL2",0.17830219511807
"374","ALX4","IFNAR1",0.197770341493725
"375","ALX4","IFNAR2",0.196660357633078
"376","ALX4","IFNB1",0.237055008077792
"377","ALX4","IFNG",0.307639851408093
"378","ALX4","IFNG-AS1",0.341639216647353
"379","ALX4","IFNGR1",0.208264222827343
"380","ALX4","IFNGR2",0.202254214825151
"381","ALX4","IFNW1",0.213072757451276
"382","ALX4","IL10RA",0.193263725107602
"383","ALX4","IL10RB",0.199385240065283
"384","ALX4","IL10RB-DT",0.210873888980468
"385","ALX4","IL12A",0.168961267408548
"386","ALX4","IL12B",0.184113035457258
"387","ALX4","IL13RA1",0.186805413799258
"388","ALX4","IL13RA2",0.209253913307399
"389","ALX4","IL15",0.241036674498664
"390","ALX4","IL15RA",0.198139643812272
"391","ALX4","IL16",0.140478870397461
"392","ALX4","IL17B",0.198462197710065
"393","ALX4","IL17RA",0.182422679864339
"394","ALX4","IL17RB",0.176951951450581
"395","ALX4","IL17RC",0.135222819726548
"396","ALX4","IL17RD",0.206651292379032
"397","ALX4","IL17REL",0.193905169967734
"398","ALX4","IL18BP",0.18925135862177
"399","ALX4","IL18R1",0.186360074110361
"400","ALX4","IL18RAP",0.165996047771383
"401","ALX4","IL1A",0.276000559680245
"402","ALX4","IL1B",0.189527636950788
"403","ALX4","IL1R2",0.18498947751633
"404","ALX4","IL1RAP",0.172034201672392
"405","ALX4","IL1RL2",0.0941579236535295
"406","ALX4","IL1RN",0.190041947346801
"407","ALX4","IL2",0.209621093264534
"408","ALX4","IL20",0.192464918386994
"409","ALX4","IL20RA",0.232161205235843
"410","ALX4","IL20RB",0.140435725901834
"411","ALX4","IL21R",0.29086424185955
"412","ALX4","IL23R",0.212827386644203
"413","ALX4","IL26",0.214058179596048
"414","ALX4","IL27",0.199594144576869
"415","ALX4","IL2RA",0.190495879180288
"416","ALX4","IL2RB",0.198669110102055
"417","ALX4","IL3RA",0.317976741253082
"418","ALX4","IL4",0.216161144713963
"419","ALX4","IL4R",0.277208408815541
"420","ALX4","IL5",0.157651364909249
"421","ALX4","IL5RA",0.18968444766423
"422","ALX4","IL6",0.313296817345091
"423","ALX4","IL6R-AS1",0.170577485559396
"424","ALX4","IL6ST",0.258936057550799
"425","ALX4","IL7",0.144196664809943
"426","ALX4","IL7R",0.234293686649179
"427","ALX4","IMMP1L",0.151515214651841
"428","ALX4","IMMP2L",0.16307143346217
"429","ALX4","MMP14",0.18187541876241
"430","ALX4","MMP15",0.24260726632282
"431","ALX4","MMP19",0.261093438368676
"432","ALX4","MMP2-AS1",0.169113046808007
"433","ALX4","MMP3",0.189536182754158
"434","ALX4","MMP7",0.203341544149077
"435","ALX4","NOTCH2",0.185475892841081
"436","ALX4","PDGFA",0.208690447761206
"437","ALX4","PDGFB",0.195188142069651
"438","ALX4","PDGFC",0.244917888616582
"439","ALX4","PDGFD",0.318017738586008
"440","ALX4","PDGFRA",0.17014718393999
"441","ALX4","TGFA",0.185189461626058
"442","ALX4","TGFB2",0.31241704404014
"443","ALX4","TGFB2-AS1",0.210370165616273
"444","ALX4","TGFB3",0.163902318385981
"445","ALX4","TGFBI",0.160156830837655
"446","ALX4","TGFBR1",0.191270490855394
"447","ALX4","TGFBR2",0.269705775319803
"448","ALX4","TGFBR3",0.195349691084746
"449","ALX4","TGFBR3L",0.314448324743417
"450","ALX4","TNFAIP1",0.155710492321182
"451","ALX4","TNFAIP6",0.229891737335799
"452","ALX4","TNFAIP8",0.208085519998506
"453","ALX4","TNFAIP8L1",0.290102536584332
"454","ALX4","TNFAIP8L3",0.141598241643733
"455","ALX4","TNFRSF10A",0.194601031082243
"456","ALX4","TNFRSF10B",0.194601031082243
"457","ALX4","TNFRSF10C",0.194601031082243
"458","ALX4","TNFRSF10D",0.194601031082243
"459","ALX4","TNFRSF11A",0.196327774419212
"460","ALX4","TNFRSF11B",0.252234837207755
"461","ALX4","TNFRSF13B",0.175735950790188
"462","ALX4","TNFRSF19",0.196540917645395
"463","ALX4","TNFRSF21",0.199211813512424
"464","ALX4","TNFRSF25",0.297927436944589
"465","ALX4","TNFRSF8",0.173961317983423
"466","ALX4","TNFSF10",0.23192865048066
"467","ALX4","TNFSF11",0.183181161488704
"468","ALX4","TNFSF12",0.133248280783711
"469","ALX4","TNFSF13B",0.204595970731075
"470","ALX4","TNFSF14",0.237767578608141
"471","ALX4","TNFSF15",0.199473174086691
"472","ALX4","TNFSF18",0.307566463254002
"473","ALX4","TNFSF4",0.176669876742454
"474","ALX4","TNFSF8",0.19983833904037
"475","ALX4","XCL2",0.178443020308688
"476","AR","ADAMTS1",0.19660724097439
"477","AR","ADAMTS10",0.28105454663745
"478","AR","ADAMTS12",0.179223241072783
"479","AR","ADAMTS13",0.258817459478145
"480","AR","ADAMTS14",0.345895403415551
"481","AR","ADAMTS15",0.231916701851355
"482","AR","ADAMTS16",0.221189008897813
"483","AR","ADAMTS17",0.347481839226898
"484","AR","ADAMTS18",0.245717402459815
"485","AR","ADAMTS19",0.196452538240748
"486","AR","ADAMTS2",0.270261225391154
"487","AR","ADAMTS3",0.264267522058749
"488","AR","ADAMTS4",0.289993791569847
"489","AR","ADAMTS5",0.141608404929557
"490","AR","ADAMTS6",0.256817666069965
"491","AR","ADAMTS7",0.205488538762629
"492","AR","ADAMTS8",0.18604502681288
"493","AR","ADAMTS9",0.339660510751279
"494","AR","ADAMTS9-AS2",0.277969312294674
"495","AR","ADAMTSL1",0.231170332817725
"496","AR","ADAMTSL2",0.22003252379537
"497","AR","ADAMTSL3",0.223141953864399
"498","AR","ADAMTSL4",0.385487317255732
"499","AR","ADAMTSL5",0.235880028834781
"500","AR","CCL1",0.194153795266366
"501","AR","CCL13",0.22917019896002
"502","AR","CCL16",0.139417742380772
"503","AR","CCL17",0.338612323680562
"504","AR","CCL2",0.197267558494286
"505","AR","CCL20",0.354665379708654
"506","AR","CCL22",0.214728855138808
"507","AR","CCL24",0.13989592794921
"508","AR","CCL25",0.32409287069143
"509","AR","CCL26",0.190445764498481
"510","AR","CCL27",0.203853435347042
"511","AR","CCL28",0.278683513254625
"512","AR","CCL3",0.370344718589837
"513","AR","CCL4",0.255936698683016
"514","AR","CCL4L2",0.228689450719665
"515","AR","CCL5",0.233312853109141
"516","AR","CCL7",0.219556476230526
"517","AR","CCL8",0.247351392990673
"518","AR","CSF1",0.247411031309381
"519","AR","CSF1R",0.178439080879534
"520","AR","CSF2",0.396594522537372
"521","AR","CSF2RA",0.237532711849581
"522","AR","CSF2RB",0.324553477629257
"523","AR","CSF3",0.24076890101586
"524","AR","CSF3R",1.27022138861484
"525","AR","CXCL1",0.232395561786844
"526","AR","CXCL10",0.478772206625958
"527","AR","CXCL12",0.359963957481231
"528","AR","CXCL14",0.239390671775957
"529","AR","CXCL16",0.194646298302098
"530","AR","CXCL2",0.292090473680338
"531","AR","CXCL3",0.631626643619348
"532","AR","CXCL6",0.302547339736166
"533","AR","CXCL8",0.287395497588403
"534","AR","CXCL9",0.182511379931536
"535","AR","IFNA14",1.97431393812314
"536","AR","IFNA2",0.196944670403501
"537","AR","IFNAR1",0.266252663220632
"538","AR","IFNAR2",0.293362922601799
"539","AR","IFNB1",0.266491504527468
"540","AR","IFNG",0.407734723810736
"541","AR","IFNG-AS1",0.322075978295641
"542","AR","IFNGR1",0.305122073839356
"543","AR","IFNGR2",0.246731868818387
"544","AR","IFNK",0.126685838775248
"545","AR","IFNL2",0.179330965702549
"546","AR","IFNLR1",0.253464319978687
"547","AR","IFNW1",0.180570884634311
"548","AR","IL10",0.246367976435943
"549","AR","IL10RA",0.300391960060834
"550","AR","IL10RB",0.272916632944404
"551","AR","IL10RB-DT",0.262230450122542
"552","AR","IL11",0.332817958187479
"553","AR","IL11RA",0.24040359102753
"554","AR","IL12A",0.339485128476821
"555","AR","IL12A-AS1",0.281695854332068
"556","AR","IL12B",0.200524356141641
"557","AR","IL12RB1",0.247454685163736
"558","AR","IL12RB2",0.244638914469211
